Unnamed: 0,认购日期,产品起息日,产品到息日,产品期限,认购金额(万元),产品发行方名称,理财产品名称,sample_id,实际购买公司名称,理财类型,资金来源,实际购买公司和上市公司关系,买卖方是否有关联关系
0,,,,,24000,中国工商银行,无固定期限超短期人民币理财产品,11190,北京京西文化旅游股份有限公司,银行理财产品,自有资金,公司本身,否
1,,,,nan天,1000,中国建设银行,中国建设银行乾元-日鑫月溢理财产品,11191,北京京西文化旅游股份有限公司,银行理财产品,自有资金,公司本身,否
2,,,,,11500,包商银行,包商银行企业鑫喜16005理财产品,11191,北京京西文化旅游股份有限公司,银行理财产品,自有资金,公司本身,否
3,,,,,1000,南京银行,“珠联璧合安享系列-季安享”人民币理财产品,11191,北京京西文化旅游股份有限公司,银行理财产品,自有资金,控股参股公司,否
4,,,,,500,交通银行,“蕴通财富·稳得利”28天周期型理财产品,11191,北京京西文化旅游股份有限公司,银行理财产品,自有资金,公司本身,否
5,,,,nan天,200,招商银行,招商银行朝招金(多元积极型)理财产品,11191,北京京西文化旅游股份有限公司,银行理财产品,自有资金,公司本身,否
6,,,,,25000,厦门国际银行股份有限公司北京分行,人民币“步步为赢”结构性存款产品16710期产品,11193,北京京西文化旅游股份有限公司,结构性存款,自筹资金,公司本身,否
7,,,,nan天,,交通银行股份有限公司秦皇岛分行,,11198,秦皇岛天业通联重工股份有限公司,银行理财产品,自有资金,公司本身,否
8,,,,nan天,5000,,蕴通财富?日增利32天,11198,秦皇岛天业通联重工股份有限公司,银行理财产品,自有资金,公司本身,否
9,,,,nan天,5000,,蕴通财富?日增利34天,11198,秦皇岛天业通联重工股份有限公司,银行理财产品,自有资金,公司本身,否
10,,,,nan天,5000,,蕴通财富?日增利40天,11198,秦皇岛天业通联重工股份有限公司,银行理财产品,自有资金,公司本身,否
11,,,,nan天,,,蕴通财富?日增利35天,11202,秦皇岛天业通联重工股份有限公司,银行理财产品,自有资金,公司本身,否
12,,,,nan天,,恒天中岩投资管理有限公司,,11203,秦皇岛天业通联重工股份有限公司,银行理财产品,自有资金,公司本身,否
13,,,,nan天,5000,,恒天财富稳金2号私募投资基金,11203,秦皇岛天业通联重工股份有限公司,基金专户,自有资金,公司本身,否
14,,,,nan天,11700,上海浦东发展银行股份有限公司,浦发银行利多多对公结构性存款产品,11275,中广核核技术发展股份有限公司,结构性存款,自筹资金,公司本身,否
15,,,,nan天,11200,招商银行股份有限公司,招商银行结构性存款产品,11275,中广核核技术发展股份有限公司,结构性存款,自筹资金,控股参股公司,否
16,,,,nan天,20000,上海浦东发展银行股份有限公司,浦发银行利多多对公结构性存款产品,11275,中广核核技术发展股份有限公司,结构性存款,自筹资金,控股参股公司,否
17,,,,2017天,18000,中国工商银行股份有限公司,工银理财保本型“随心e”(定向)2017年第3期,11275,中广核核技术发展股份有限公司,银行理财产品,自筹资金,控股参股公司,否
18,2019-06-19,2019-06-19,,,62000,中国工商银行,国开2019093封闭式保本型人民币理财产品,11276,中广核核技术发展股份有限公司,银行理财产品,自有资金,控股参股公司,否
19,2019-03-18,2019-03-18,,,62000,中国工商银行,国开2018642号封闭式保本型人民币理财产品,11278,中广核核技术发展股份有限公司,银行理财产品,自有资金,控股参股公司,否
20,,,,nan天,16500,中国工商银行,中国工商银行保本“随心E”二号法人拓户理财产品,11279,中广核核技术发展股份有限公司,银行理财产品,"自筹资金,自有资金",控股参股公司,否
21,,,,nan天,33700,招商银行招商银行,招商银行结构性存款,11279,中广核核技术发展股份有限公司,结构性存款,"自筹资金,自有资金",公司本身,否
22,,,,nan天,33900,上海浦东发展银行,上海浦东发展银行利多多对公结构性存款固定持有期JG902期,11279,中广核核技术发展股份有限公司,结构性存款,"自筹资金,自有资金",公司本身,否
23,,,,,20000,中国工商银行股份有限公司,工银理财保本型“随心E”(定向)2017年第3期,11280,中广核核技术发展股份有限公司,银行理财产品,自筹资金,公司本身,否
24,2018-12-14,2018-12-14,,,61000,,国开2018531号封闭式保本型人民币理财产品,11280,中广核核技术发展股份有限公司,银行理财产品,自筹资金,公司本身,否
25,,,,,20000,中国工商银行股份有限公司,工银理财保本型“随心E”(定向)2017年第3期,11281,中广核核技术发展股份有限公司,银行理财产品,自筹资金,公司本身,否
26,,,,nan天,33400,招商银行股份有限公司,招商银行结构性存款,11281,中广核核技术发展股份有限公司,结构性存款,自筹资金,公司本身,否
27,,,,nan天,33500,上海浦东发展银行股份有限公司,上海浦东发展银行利多多对公结构性存款固定持有期JG902期,11281,中广核核技术发展股份有限公司,结构性存款,自筹资金,公司本身,否
28,,,,nan天,40000,招商银行股份有限公司,招商银行结构性存款CSZ01510,11282,中广核核技术发展股份有限公司,结构性存款,自筹资金,控股参股公司,否
29,,,,nan天,33000,上海浦东发展银行股份有限公司,上海浦东发展银行利多多对公结构性存款固定持有期JG902期,11282,中广核核技术发展股份有限公司,结构性存款,自筹资金,公司本身,否
30,,,,,15600,中国工商银行股份有限公司,工银理财保本型“随心E”(定向)2017年第3期,11282,中广核核技术发展股份有限公司,银行理财产品,自筹资金,公司本身,否
31,2018-09-13,2018-09-13,,,60000,,国开2018374号封闭式保本型人民币理财产品,11282,中广核核技术发展股份有限公司,银行理财产品,自有资金,公司本身,否
32,,,,,15000,工商银行,工银理财保本型“随心E”(定向)2017年第3期,11283,中广核核技术发展股份有限公司,银行理财产品,自筹资金,控股参股公司,否
33,,,,,7000,中国工商银行股份有限公司,工银理财保本型“随心E”(定向)2017年第3期,11283,中广核核技术发展股份有限公司,银行理财产品,自筹资金,控股参股公司,否
34,,,,,10200,中国工商银行股份有限公司,工银理财保本型“随心E”(定向)2017年第3期,11284,中广核核技术发展股份有限公司,银行理财产品,自筹资金,公司本身,否
35,,,,nan天,35000,招商银行股份有限公司,招商银行结构性存款,11284,中广核核技术发展股份有限公司,结构性存款,自筹资金,公司本身,否
