公告日期,sample_id,实际购买公司名称,认购日期,产品起息日,产品到息日,产品期限,认购金额(万元),产品发行方名称,理财产品名称,理财类型,资金来源,实际购买公司和上市公司关系,买卖方是否有关联关系
2018-03-01,11195,秦皇岛天业通联重工股份有限公司,2018-02-27,2018-02-27,,,1000010000.0,交通银行股份有限公司秦皇岛分行合计,蕴通财富•日增利S款,银行理财产品,自有资金,公司本身,否
2018-02-13,11196,秦皇岛天业通联重工股份有限公司,2018-02-12,2018-02-12,,,1000010000.0,中信银行股份有限公司唐山分行合计,赢保本步步高升B款人民币理财产品,银行理财产品,自有资金,公司本身,否
2018-01-04,11197,秦皇岛天业通联重工股份有限公司,2017-12-29,2017-12-29,2018-01-30,32天,5000.0,交通银行股份有限公司秦皇岛分行,蕴通财富•日增利32天,银行理财产品,自有资金,公司本身,否
2018-01-04,11197,秦皇岛天业通联重工股份有限公司,2017-12-29,2017-12-29,2018-01-30,32天,5000.0,交通银行股份有限公司秦皇岛分行,蕴通财富•日增利32天,银行理财产品,自有资金,公司本身,否
2018-01-04,11197,秦皇岛天业通联重工股份有限公司,2017-12-29,2017-12-29,2018-01-30,32天,5000.0,交通银行股份有限公司秦皇岛分行,蕴通财富•日增利32天,银行理财产品,自有资金,公司本身,否
2018-01-04,11197,秦皇岛天业通联重工股份有限公司,2018-01-03,2018-01-03,2018-02-07,35天,1000010000.0,中信证券股份有限公司合计,天天利财35天鑫,证券公司理财产品,自有资金,公司本身,否
2017-12-29,11198,秦皇岛天业通联重工股份有限公司,2017-12-29,2017-12-29,,,,,蕴通财富•日增利32天蕴通财富•日增利34天,银行理财产品,自有资金,公司本身,否
2017-12-29,11198,秦皇岛天业通联重工股份有限公司,2017-12-29,2017-12-29,2018-01-30,32天,5000.0,交通银行股份有限公司秦皇岛分行,蕴通财富•日增利32天,银行理财产品,自有资金,公司本身,否
2017-12-29,11198,秦皇岛天业通联重工股份有限公司,2017-12-29,2017-12-29,2018-01-30,32天,5000.0,交通银行股份有限公司秦皇岛分行,蕴通财富•日增利32天,银行理财产品,自有资金,公司本身,否
2017-12-29,11198,秦皇岛天业通联重工股份有限公司,2017-12-29,2017-12-29,2018-01-30,32天,5000.0,交通银行股份有限公司秦皇岛分行,蕴通财富•日增利32天,银行理财产品,自有资金,公司本身,否
2017-12-29,11198,秦皇岛天业通联重工股份有限公司,2017-12-06,2017-12-06,2018-01-03,28天,1000010000.0,中信证券股份有限公司合计,天天利财28天鑫,证券公司理财产品,自有资金,公司本身,否
2017-12-07,11199,秦皇岛天业通联重工股份有限公司,2017-11-21,2017-11-21,2017-12-26,35天,5000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-12-07,11199,秦皇岛天业通联重工股份有限公司,2017-11-22,2017-11-22,2017-12-27,35天,10000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-12-12,11200,秦皇岛天业通联重工股份有限公司,2017-11-21,2017-11-21,2017-12-26,35天,5000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-12-12,11200,秦皇岛天业通联重工股份有限公司,2017-11-22,2017-11-22,2017-12-27,35天,10000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-11-30,11201,秦皇岛天业通联重工股份有限公司,2017-11-21,2017-11-21,2017-12-26,35天,5000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-11-30,11201,秦皇岛天业通联重工股份有限公司,2017-11-22,2017-11-22,2017-12-27,35天,10000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-11-22,11202,秦皇岛天业通联重工股份有限公司,,,,,,,蕴通财富•日增利35天蕴通财富•日增利35天合计,银行理财产品,自有资金,公司本身,否
2017-11-22,11202,秦皇岛天业通联重工股份有限公司,2017-03-24,2017-03-24,,,1500.0,交通银行股份有限公司秦皇岛分行,保本浮动收益型,银行理财产品,自有资金,公司本身,否
2017-11-22,11202,秦皇岛天业通联重工股份有限公司,2017-03-24,2017-03-24,,,1500.0,交通银行股份有限公司秦皇岛分行,保本浮动收益型,银行理财产品,自有资金,公司本身,否
2017-11-22,11202,秦皇岛天业通联重工股份有限公司,2017-10-18,2017-10-18,2017-11-24,37天,6500.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-11-22,11202,秦皇岛天业通联重工股份有限公司,2017-11-21,2017-11-21,2017-12-26,35天,5000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-11-22,11202,秦皇岛天业通联重工股份有限公司,2017-11-22,2017-11-22,2017-12-27,35天,10000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-11-03,11203,秦皇岛天业通联重工股份有限公司,2017-10-18,2017-10-18,2017-11-17,30天,5000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-11-03,11203,秦皇岛天业通联重工股份有限公司,2017-10-18,2017-10-18,2017-11-20,33天,5000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-11-03,11203,秦皇岛天业通联重工股份有限公司,2017-10-18,2017-10-18,2017-11-21,34天,5000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-11-03,11203,秦皇岛天业通联重工股份有限公司,2017-10-18,2017-10-18,2017-11-24,37天,6500.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-11-03,11203,秦皇岛天业通联重工股份有限公司,2017-11-06,2017-11-06,,,5000.0,恒天中岩投资管理有限公司,契约型开放式投资基金,基金专户,自有资金,公司本身,否
2017-10-17,11204,秦皇岛天业通联重工股份有限公司,2017-10-18,2017-10-18,2017-11-17,30天,5000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-10-17,11204,秦皇岛天业通联重工股份有限公司,2017-10-18,2017-10-18,2017-11-20,33天,5000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
2017-10-17,11204,秦皇岛天业通联重工股份有限公司,2017-10-18,2017-10-18,2017-11-21,34天,5000.0,,保证收益型,银行理财产品,自有资金,公司本身,否
